url,weekid,week_position,song,artist,songid,instance,previous_week_position,peak_position,weeks_on_chart,debut_position,year,month,genre
http://www.billboard.com/charts/hot-100/2002-03-02,3/2/2002,72,#1,Nelly,#1Nelly,1,63,22,20,75,2002,3,hip-hop
http://www.billboard.com/charts/hot-100/2000-12-16,12/16/2000,49,(Hot S**t) Country Grammar,Nelly,(Hot S**t) Country GrammarNelly,1,36,7,34,100,2000,12,hip-hop
http://www.billboard.com/charts/hot-100/2004-04-10,4/10/2004,66,(I Hate) Everything About You,Three Days Grace,(I Hate) Everything About YouThree Days Grace,1,69,55,20,75,2004,4,rock
http://www.billboard.com/charts/hot-100/2005-12-10,12/10/2005,100,(I Never Promised You A) Rose Garden,Martina McBride,(I Never Promised You A) Rose GardenMartina McBride,1,98,98,2,98,2005,12,pop
http://www.billboard.com/charts/hot-100/2009-12-26,12/26/2009,95,(If You're Wondering If I Want You To) I Want You To,Weezer,(If You're Wondering If I Want You To) I Want You ToWeezer,2,86,81,7,82,2009,12,alternative
http://www.billboard.com/charts/hot-100/2004-12-04,12/4/2004,100,(Reach Up For The) Sunrise,Duran Duran,(Reach Up For The) SunriseDuran Duran,1,96,89,5,95,2004,12,pop
http://www.billboard.com/charts/hot-100/2004-01-31,1/31/2004,82,(There's Gotta Be) More To Life,Stacie Orrico,(There's Gotta Be) More To LifeStacie Orrico,1,62,30,20,84,2004,1,pop
http://www.billboard.com/charts/hot-100/2006-11-04,11/4/2006,44,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,(When You Gonna) Give It Up To MeSean Paul Featuring Keyshia Cole,1,32,3,22,97,2006,11,dancehall
http://www.billboard.com/charts/hot-100/2007-09-29,9/29/2007,98,(You Want To) Make A Memory,Bon Jovi,(You Want To) Make A MemoryBon Jovi,1,92,27,20,27,2007,9,rock
http://www.billboard.com/charts/hot-100/2003-03-29,3/29/2003,46,'03 Bonnie & Clyde,Jay-Z Featuring Beyonce Knowles,'03 Bonnie & ClydeJay-Z Featuring Beyonce Knowles,1,37,4,23,56,2003,3,
