weekid,week_position,song,performer,songid,instance,previous_week_position,peak_position,weeks_on_chart
10/20/2001,75,#1,Nelly,#1Nelly,1,,75,1
4/29/2000,100,(Hot S**t) Country Grammar,Nelly,(Hot S**t) Country GrammarNelly,1,,100,1
11/29/2003,75,(I Hate) Everything About You,Three Days Grace,(I Hate) Everything About YouThree Days Grace,1,,75,1
12/3/2005,98,(I Never Promised You A) Rose Garden,Martina McBride,(I Never Promised You A) Rose GardenMartina McBride,1,,98,1
9/12/2009,82,(If You're Wondering If I Want You To) I Want You To,Weezer,(If You're Wondering If I Want You To) I Want You ToWeezer,1,,82,1
11/6/2004,95,(Reach Up For The) Sunrise,Duran Duran,(Reach Up For The) SunriseDuran Duran,1,,95,1
9/20/2003,84,(There's Gotta Be) More To Life,Stacie Orrico,(There's Gotta Be) More To LifeStacie Orrico,1,,84,1
6/10/2006,97,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,(When You Gonna) Give It Up To MeSean Paul Featuring Keyshia Cole,1,,97,1
5/19/2007,27,(You Want To) Make A Memory,Bon Jovi,(You Want To) Make A MemoryBon Jovi,1,,27,1
10/26/2002,56,'03 Bonnie & Clyde,Jay-Z Featuring Beyonce Knowles,'03 Bonnie & ClydeJay-Z Featuring Beyonce Knowles,1,,56,1
2/12/2005,100,1 Thing,Amerie,1 ThingAmerie,1,,100,1
10/30/2004,74,"1, 2 Step",Ciara Featuring Missy Elliott,"1, 2 StepCiara Featuring Missy Elliott",1,,74,1
2/7/2009,91,"1, 2, 3, 4",Plain White T's,"1, 2, 3, 4Plain White T's",1,,91,1
2/14/2004,70,100 Years,Five For Fighting,100 YearsFive For Fighting,1,,70,1
9/29/2007,61,1234,Feist,1234Feist,1,,61,1
11/23/2002,69,19 Somethin',Mark Wills,19 Somethin'Mark Wills,1,,69,1
12/19/2009,90,1901,Phoenix,1901Phoenix,1,,90,1
10/6/2007,73,1973,James Blunt,1973James Blunt,1,,73,1
9/11/2004,72,1985,Bowling For Soup,1985Bowling For Soup,1,,72,1
